frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-4.12,-11.27,-4.12,-11.27,6.00,6.35,2.73,1.88,1.88,7.15
20.20,-4.06,-11.20,-4.06,-11.20,6.00,6.34,2.80,1.94,1.94,7.14
20.40,-4.00,-11.13,-4.00,-11.14,6.00,6.33,2.88,2.00,2.00,7.13
20.61,-3.94,-11.07,-3.94,-11.07,6.00,6.32,2.97,2.06,2.06,7.13
20.81,-3.88,-11.00,-3.88,-11.00,6.00,6.31,3.05,2.12,2.12,7.11
21.02,-3.83,-10.94,-3.83,-10.94,6.00,6.31,3.14,2.17,2.17,7.11
21.23,-3.77,-10.87,-3.77,-10.87,6.00,6.30,3.23,2.23,2.23,7.10
21.44,-3.71,-10.82,-3.71,-10.81,6.00,6.29,3.32,2.29,2.29,7.11
21.66,-3.65,-10.75,-3.65,-10.75,6.00,6.28,3.42,2.35,2.35,7.10
21.87,-3.58,-10.67,-3.58,-10.67,6.00,6.27,3.52,2.42,2.42,7.09
22.09,-3.51,-10.59,-3.51,-10.60,6.00,6.26,3.62,2.49,2.49,7.08
22.31,-3.45,-10.53,-3.45,-10.52,6.00,6.25,3.72,2.55,2.55,7.08
22.54,-3.38,-10.45,-3.38,-10.45,6.00,6.24,3.83,2.62,2.62,7.07
22.76,-3.30,-10.36,-3.30,-10.36,6.00,6.23,3.94,2.70,2.70,7.06
22.99,-3.22,-10.27,-3.22,-10.27,6.00,6.22,4.05,2.78,2.78,7.05
23.22,-3.14,-10.18,-3.14,-10.18,6.00,6.21,4.16,2.86,2.86,7.04
23.45,-3.05,-10.10,-3.05,-10.09,6.00,6.20,4.28,2.95,2.95,7.05
23.69,-2.97,-10.01,-2.97,-10.01,6.00,6.19,4.40,3.03,3.03,7.04
23.92,-2.89,-9.93,-2.89,-9.93,6.00,6.18,4.52,3.11,3.11,7.04
24.16,-2.81,-9.86,-2.81,-9.86,6.00,6.16,4.64,3.19,3.19,7.05
24.40,-2.73,-9.79,-2.73,-9.78,6.00,6.15,4.77,3.27,3.27,7.06
24.65,-2.64,-9.70,-2.64,-9.70,6.00,6.14,4.90,3.36,3.36,7.06
24.89,-2.55,-9.61,-2.55,-9.61,6.00,6.13,5.03,3.45,3.45,7.06
25.14,-2.46,-9.52,-2.46,-9.52,6.00,6.12,5.16,3.54,3.54,7.05
25.39,-2.37,-9.43,-2.37,-9.42,6.00,6.10,5.29,3.63,3.63,7.05
25.65,-2.28,-9.33,-2.28,-9.33,6.00,6.09,5.42,3.72,3.72,7.05
25.91,-2.18,-9.24,-2.18,-9.24,6.00,6.08,5.56,3.82,3.82,7.06
26.16,-2.08,-9.15,-2.08,-9.15,6.00,6.06,5.69,3.92,3.92,7.07
26.43,-1.98,-9.05,-1.98,-9.05,6.00,6.05,5.82,4.02,4.02,7.07
26.69,-1.87,-8.94,-1.87,-8.94,6.00,6.04,5.95,4.13,4.13,7.07
26.96,-1.77,-8.83,-1.77,-8.83,6.00,6.02,6.08,4.23,4.23,7.06
27.23,-1.67,-8.73,-1.67,-8.74,6.00,6.01,6.21,4.33,4.33,7.06
27.50,-1.58,-8.65,-1.58,-8.65,6.00,5.99,6.34,4.42,4.42,7.06
27.77,-1.49,-8.57,-1.49,-8.56,6.00,5.98,6.46,4.51,4.51,7.07
28.05,-1.40,-8.47,-1.40,-8.46,6.00,5.96,6.57,4.60,4.60,7.07
28.33,-1.30,-8.35,-1.30,-8.36,6.00,5.94,6.68,4.70,4.70,7.05
28.62,-1.20,-8.26,-1.21,-8.26,6.00,5.93,6.78,4.80,4.79,7.05
28.90,-1.11,-8.17,-1.11,-8.17,6.00,5.91,6.88,4.89,4.89,7.06
29.19,-1.02,-8.08,-1.02,-8.08,6.00,5.89,6.97,4.98,4.98,7.06
29.48,-0.93,-7.99,-0.93,-7.99,6.00,5.88,7.04,5.07,5.07,7.05
29.78,-0.85,-7.90,-0.85,-7.90,6.00,5.86,7.12,5.15,5.15,7.05
30.08,-0.76,-7.82,-0.76,-7.81,6.00,5.84,7.17,5.24,5.24,7.06
30.38,-0.67,-7.72,-0.67,-7.72,6.00,5.82,7.22,5.33,5.33,7.05
30.68,-0.58,-7.61,-0.58,-7.62,6.00,5.80,7.25,5.42,5.42,7.03
30.99,-0.49,-7.52,-0.49,-7.52,6.00,5.78,7.28,5.51,5.51,7.03
31.30,-0.40,-7.43,-0.41,-7.42,6.00,5.76,7.29,5.60,5.59,7.02
31.61,-0.32,-7.33,-0.32,-7.33,6.00,5.74,7.29,5.68,5.68,7.01
31.93,-0.24,-7.24,-0.24,-7.24,6.00,5.72,7.28,5.76,5.76,7.00
32.24,-0.16,-7.16,-0.15,-7.15,6.00,5.70,7.25,5.84,5.85,7.00
32.57,-0.07,-7.05,-0.07,-7.06,6.00,5.68,7.22,5.93,5.93,6.98
32.89,0.01,-6.97,0.01,-6.97,6.00,5.66,7.17,6.01,6.01,6.98
33.22,0.10,-6.88,0.10,-6.88,6.00,5.64,7.11,6.10,6.10,6.98
33.55,0.18,-6.79,0.18,-6.80,6.00,5.61,7.05,6.18,6.18,6.97
33.89,0.26,-6.72,0.27,-6.71,6.00,5.59,6.97,6.26,6.27,6.98
34.23,0.35,-6.62,0.35,-6.62,6.00,5.57,6.89,6.35,6.35,6.96
34.57,0.43,-6.53,0.42,-6.54,6.00,5.54,6.80,6.43,6.42,6.96
34.92,0.50,-6.45,0.50,-6.46,6.01,5.52,6.71,6.51,6.50,6.95
35.27,0.57,-6.39,0.57,-6.38,6.01,5.49,6.60,6.58,6.58,6.96
35.62,0.64,-6.30,0.64,-6.30,6.01,5.46,6.50,6.66,6.66,6.94
35.97,0.71,-6.23,0.71,-6.23,6.01,5.44,6.39,6.72,6.72,6.94
36.33,0.78,-6.14,0.78,-6.15,6.00,5.41,6.28,6.78,6.78,6.92
36.70,0.83,-6.08,0.83,-6.07,5.98,5.38,6.17,6.82,6.82,6.91
37.06,0.89,-6.00,0.89,-6.00,5.95,5.35,6.05,6.84,6.84,6.89
37.43,0.94,-5.93,0.94,-5.93,5.91,5.32,5.94,6.85,6.85,6.87
37.81,1.00,-5.85,1.00,-5.85,5.85,5.30,5.82,6.85,6.85,6.85
38.19,1.05,-5.77,1.05,-5.77,5.78,5.26,5.71,6.83,6.83,6.82
38.57,1.10,-5.70,1.10,-5.69,5.70,5.23,5.59,6.81,6.81,6.80
38.95,1.16,-5.62,1.16,-5.61,5.62,5.20,5.48,6.78,6.78,6.77
39.34,1.21,-5.52,1.21,-5.53,5.54,5.17,5.37,6.75,6.75,6.73
